label,group,kappa,kappa_std,pred_RF_raw,pred_GP_raw,std_GP_raw,pred_RF_log,pred_GP_log,std_GP_log
bulk_si,P1,12.03,0.29,5.076176357864348,8.786627140907752,1.6432624952939432,4.890801307151991,10.545511055749097,4.5609127080491545
P1_high_50pct,P1,2.59,0.02,3.0549775479585777,3.6848484191282362,0.2683410222848083,2.700426449142988,3.9011558621444475,0.22149510545016685
A_S2_d2,A,4.56,0.1,5.169428156738687,5.185117100722095,0.26893625703344615,4.54279365022495,4.991595816919213,0.3847696667753711
A_S2.5_d2,A,4.02,0.22,4.481925828178351,3.9696550324859325,0.1752121020776862,4.146823545536053,4.03516939532623,0.22093398215709734
A_S3_d2,A,3.46,0.28,3.2887519508269505,3.3458116165323664,0.16643444033327864,3.2530340465574614,3.330035886269296,0.17217557100596306
A_S4.5_d2,A,1.28,0.02,2.3958866953046947,1.1756374846833215,0.2739747686627116,2.2247227243972314,1.3749461329082746,0.1752903756442124
B_S2_aligned_low,B,7.06,1.14,6.67431877777779,6.45669544461151,0.42933966349861424,5.859689945325965,6.555269818270816,0.7742677098585403
B_S2_d4_low,B,4.39,0.14,4.630118570651576,3.987215220436326,0.4201337596888316,3.7809143494919115,3.9583744679611437,0.36270798847356406
B_S4_aligned_high,B,3.74,0.2,3.7442169403374432,2.8944913911407646,0.25346449848046265,2.98877152916851,2.849103115219364,0.23421934568736172
B_S4_quarter_high,B,1.82,0.04,2.5062950904095906,1.9940353176275503,0.20349595890478048,2.278601274127308,1.8536731356412322,0.07813197994423045
C_d0_aligned,C,4.68,0.64,4.371754474636477,4.9957473949998334,0.24998548751109337,4.024565687422953,4.852961204956782,0.31947548126206915
C_d1_12pct,C,3.83,0.57,4.289359694305693,3.903772031825775,0.18896400481228612,4.039238182059408,3.9461052678242017,0.146883093610415
C_d3_37pct,C,2.85,0.35,3.106626420856922,3.0837255027215025,0.09461601528434799,3.0768645230560576,3.0549527774448424,0.08571134979031164
C_d4_50pct,C,2.91,0.16,3.0998885075480076,2.7615156988328744,0.22228922846548,3.040084036440168,2.7641238047940324,0.1344332841340182
D_AR0.5_tall,D,3.53,0.1,3.2485171388056355,3.2924139898401967,0.2835937542615286,3.2368048377333443,3.252418035401392,0.3272127376576318
D_AR2.0_wide,D,3.22,0.18,3.295180540015536,3.0036492534815165,0.05451388990445382,3.276311012179099,2.957420687828874,0.06533132199377274
D_AR2.5_vwide,D,2.69,0.1,3.4329546626706606,3.1215627887991815,0.04332704890364072,3.4215956341812443,3.1257738467268017,0.041344714542908535
V_S4d3_37pct,V,1.39,0.01,2.3057645668220643,1.4144242894848524,0.3021725079772424,2.115458998208021,1.3413070272072924,0.12535453348869677
