feature,importance,std
phi,0.49897067081038565,0.10981080912718827
neck_uc,0.18518975176569336,0.04788650185731676
stagger,0.08207509315675136,0.0208990445098967
S,0.04106139235196544,0.012059880018026617
AR,0.0016359171379194514,0.0017043398236101133
